Match Date,Team..1,Team..2,Winner,Margin,Ground
01-Mar-23,Bangladesh,England,England,3 wickets,Mirpur
02-Mar-23,U.A.E.,Nepal,U.A.E.,68 runs,Dubai (DSC)
03-Mar-23,Nepal,P.N.G.,Nepal,3 wickets,Dubai (DSC)
03-Mar-23,Bangladesh,England,England,132 runs,Mirpur
05-Mar-23,U.A.E.,P.N.G.,P.N.G.,5 wickets,Dubai (DSC)
06-Mar-23,U.A.E.,Nepal,Nepal,42 runs,Dubai (DSC)
06-Mar-23,Bangladesh,England,Bangladesh,50 runs,Chattogram
09-Mar-23,Nepal,P.N.G.,Nepal,52 runs,Kirtipur
10-Mar-23,P.N.G.,U.A.E.,P.N.G.,56 runs,Kirtipur
12-Mar-23,Nepal,U.A.E.,Nepal,177 runs,Kirtipur
13-Mar-23,Nepal,P.N.G.,Nepal,9 wickets,Kirtipur
15-Mar-23,P.N.G.,U.A.E.,U.A.E.,6 wickets,Kirtipur
16-Mar-23,Nepal,U.A.E.,Nepal,9 runs,Kirtipur
17-Mar-23,India,Australia,India,5 wickets,Wankhede
18-Mar-23,Bangladesh,Ireland,Bangladesh,183 runs,Sylhet
18-Mar-23,South Africa,West Indies,West Indies,48 runs,East London
19-Mar-23,India,Australia,Australia,10 wickets,Visakhapatnam
20-Mar-23,Bangladesh,Ireland,no result,-,Sylhet
21-Mar-23,Zimbabwe,Netherlands,Netherlands,3 wickets,Harare
21-Mar-23,South Africa,West Indies,South Africa,4 wickets,Potchefstroom
22-Mar-23,India,Australia,Australia,21 runs,Chennai
23-Mar-23,Zimbabwe,Netherlands,Zimbabwe,1 run,Harare
23-Mar-23,Bangladesh,Ireland,Bangladesh,10 wickets,Sylhet
25-Mar-23,New Zealand,Sri Lanka,New Zealand,198 runs,Auckland
25-Mar-23,Zimbabwe,Netherlands,Zimbabwe,7 wickets,Harare
26-Mar-23,Namibia,U.S.A.,U.S.A.,80 runs,Windhoek
27-Mar-23,P.N.G.,U.A.E.,U.A.E.,21 runs,Windhoek
27-Mar-23,Canada,Jersey,Canada,31 runs,Windhoek
29-Mar-23,Canada,U.S.A.,Canada,26 runs,Windhoek
29-Mar-23,Namibia,P.N.G.,Namibia,48 runs,Windhoek
30-Mar-23,Namibia,Jersey,Namibia,8 wickets,Windhoek
30-Mar-23,U.A.E.,U.S.A.,U.S.A.,5 wickets,Windhoek
31-Mar-23,New Zealand,Sri Lanka,New Zealand,6 wickets,Hamilton
31-Mar-23,South Africa,Netherlands,South Africa,8 wickets,Benoni
01-Apr-23,Canada,U.A.E.,U.A.E.,6 wickets,Windhoek
01-Apr-23,Jersey,P.N.G.,Jersey,11 runs,Windhoek
02-Apr-23,P.N.G.,U.S.A.,U.S.A.,117 runs,Windhoek
02-Apr-23,Namibia,U.A.E.,U.A.E.,28 runs,Windhoek
02-Apr-23,South Africa,Netherlands,South Africa,146 runs,Johannesburg
04-Apr-23,Namibia,Canada,Namibia,111 runs,Windhoek
04-Apr-23,Jersey,U.S.A.,U.S.A.,25 runs,Windhoek
05-Apr-23,Jersey,U.A.E.,U.A.E.,66 runs,Windhoek
05-Apr-23,Canada,P.N.G.,Canada,90 runs,Windhoek
21-Apr-23,Nepal,Oman,Nepal,84 runs,Kirtipur
27-Apr-23,Pakistan,New Zealand,Pakistan,5 wickets,Rawalpindi
29-Apr-23,Oman,U.A.E.,U.A.E.,2 runs,Mulpani
29-Apr-23,Pakistan,New Zealand,Pakistan,7 wickets,Rawalpindi
01-May-23,Nepal,U.A.E.,Nepal,7 wickets,Kirtipur
03-May-23,Pakistan,New Zealand,Pakistan,26 runs,Karachi
05-May-23,Pakistan,New Zealand,Pakistan,102 runs,Karachi
07-May-23,Pakistan,New Zealand,New Zealand,47 runs,Karachi
09-May-23,Bangladesh,Ireland,no result,-,Chelmsford
12-May-23,Bangladesh,Ireland,Bangladesh,3 wickets,Chelmsford
14-May-23,Bangladesh,Ireland,Bangladesh,5 runs,Chelmsford
02-Jun-23,Sri Lanka,Afghanistan,Afghanistan,6 wickets,Hambantota
04-Jun-23,Sri Lanka,Afghanistan,Sri Lanka,132 runs,Hambantota
04-Jun-23,U.A.E.,West Indies,West Indies,7 wickets,Sharjah
06-Jun-23,U.A.E.,West Indies,West Indies,78 runs,Sharjah
07-Jun-23,Sri Lanka,Afghanistan,Sri Lanka,9 wickets,Hambantota
09-Jun-23,U.A.E.,West Indies,West Indies,4 wickets,Sharjah
18-Jun-23,Zimbabwe,Nepal,Zimbabwe,8 wickets,Harare
18-Jun-23,U.S.A.,West Indies,West Indies,39 runs,Harare
19-Jun-23,Sri Lanka,U.A.E.,Sri Lanka,175 runs,Bulawayo
19-Jun-23,Ireland,Oman,Oman,5 wickets,Bulawayo
20-Jun-23,Zimbabwe,Netherlands,Zimbabwe,6 wickets,Harare
20-Jun-23,Nepal,U.S.A.,Nepal,6 wickets,Harare
21-Jun-23,Ireland,Scotland,Scotland,1 wicket,Bulawayo
21-Jun-23,Oman,U.A.E.,Oman,5 wickets,Bulawayo
22-Jun-23,Nepal,West Indies,West Indies,101 runs,Harare
22-Jun-23,Netherlands,U.S.A.,Netherlands,5 wickets,Harare
23-Jun-23,Oman,Sri Lanka,Sri Lanka,10 wickets,Bulawayo
23-Jun-23,Scotland,U.A.E.,Scotland,111 runs,Bulawayo
24-Jun-23,Zimbabwe,West Indies,Zimbabwe,35 runs,Harare
24-Jun-23,Nepal,Netherlands,Netherlands,7 wickets,Harare
25-Jun-23,Ireland,Sri Lanka,Sri Lanka,133 runs,Bulawayo
25-Jun-23,Oman,Scotland,Scotland,76 runs,Bulawayo
26-Jun-23,Zimbabwe,U.S.A.,Zimbabwe,304 runs,Harare
26-Jun-23,Netherlands,West Indies,tied,-,Harare
27-Jun-23,Scotland,Sri Lanka,Sri Lanka,82 runs,Bulawayo
27-Jun-23,Ireland,U.A.E.,Ireland,138 runs,Bulawayo
29-Jun-23,Zimbabwe,Oman,Zimbabwe,14 runs,Bulawayo
30-Jun-23,Netherlands,Sri Lanka,Sri Lanka,21 runs,Bulawayo
30-Jun-23,Ireland,U.S.A.,Ireland,6 wickets,Harare
01-Jul-23,Scotland,West Indies,Scotland,7 wickets,Harare
02-Jul-23,Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Bulawayo
02-Jul-23,Nepal,U.A.E.,Nepal,3 wickets,Harare
03-Jul-23,Netherlands,Oman,Netherlands,74 runs,Harare
04-Jul-23,Zimbabwe,Scotland,Scotland,31 runs,Bulawayo
04-Jul-23,Ireland,Nepal,Ireland,2 wickets,Harare
05-Jul-23,Oman,West Indies,West Indies,7 wickets,Harare
05-Jul-23,Bangladesh,Afghanistan,Afghanistan,17 runs,Chattogram
06-Jul-23,Netherlands,Scotland,Netherlands,4 wickets,Bulawayo
